,Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
6284,38.34,43,B,8,Geography,91,285
6288,34.24,50,D,4,Geography,80,289
6293,34.24,41,D,4,Geography,77,294
6294,38.34,44,B,8,Geography,89,295
6297,38.34,50,B,8,Geography,89,298
6299,38.34,52,B,8,Geography,91,300
6302,38.34,44,B,8,Geography,90,303
6306,34.24,50,D,4,Geography,74,307
6311,36.19,38,C,6,Geography,85,312
6312,38.34,48,B,8,Geography,94,313
6317,34.24,42,D,4,Geography,77,318
6320,34.24,52,D,4,Geography,74,321
6321,32.72,40,E,2,Geography,71,322
6322,36.19,44,C,6,Geography,87,323
6327,34.24,42,D,4,Geography,77,328
6338,34.24,44,D,4,Geography,75,339
6349,32.72,46,E,2,Geography,72,350
6352,34.24,42,D,4,Geography,77,353
6357,31.09,48,F,1,Geography,64,358
6370,36.19,47,C,6,Geography,87,371
6379,36.19,43,C,6,Geography,87,380
6381,36.19,56,C,6,Geography,83,382
6391,38.34,43,B,8,Geography,92,392
6396,38.34,48,B,8,Geography,92,397
6410,36.19,42,C,6,Geography,86,411
6411,34.24,42,D,4,Geography,76,412
6434,38.34,45,B,8,Geography,91,435
6438,34.24,41,D,4,Geography,80,439
6459,34.24,46,D,4,Geography,75,460
6465,36.19,48,C,6,Geography,87,466
6474,34.24,44,D,4,Geography,75,475
6476,31.09,41,F,1,Geography,61,477
6482,34.24,42,D,4,Geography,75,483
6484,38.34,38,B,8,Geography,94,485
6497,34.24,40,D,4,Geography,80,498
6501,38.34,44,B,8,Geography,93,502
6505,31.09,43,F,1,Geography,64,506
6510,36.19,41,C,6,Geography,88,511
6515,36.19,44,C,6,Geography,81,516
6522,36.19,42,C,6,Geography,84,523
6530,32.72,40,E,2,Geography,71,531
6537,32.72,42,E,2,Geography,69,538
6543,38.34,53,B,8,Geography,91,544
6545,36.19,44,C,6,Geography,83,546
6549,36.19,48,C,6,Geography,85,550
6550,34.24,52,D,4,Geography,74,551
6557,38.34,48,B,8,Geography,89,558
6559,36.19,40,C,6,Geography,86,560
6564,36.19,42,C,6,Geography,88,565
6571,34.24,42,D,4,Geography,80,572
6576,36.19,40,C,6,Geography,82,577
6577,38.34,48,B,8,Geography,93,578
6580,38.34,48,B,8,Geography,90,581
6581,38.34,46,B,8,Geography,92,582
6590,32.72,38,E,2,Geography,73,591
6596,38.34,42,B,8,Geography,91,597
6598,36.19,46,C,6,Geography,82,599
6599,38.34,51,B,8,Geography,92,600
6600,34.24,46,D,4,Geography,77,601
6604,31.09,44,F,1,Geography,65,605
6624,36.19,37,C,6,Geography,84,625
6625,34.24,50,D,4,Geography,80,626
6626,34.24,44,D,4,Geography,80,627
6630,32.72,40,E,2,Geography,71,631
6633,32.72,46,E,2,Geography,71,634
6634,31.09,41,F,1,Geography,65,635
6640,38.34,43,B,8,Geography,90,641
6642,36.19,42,C,6,Geography,83,643
6644,34.24,44,D,4,Geography,76,645
6647,38.34,39,B,8,Geography,94,648
6649,36.19,44,C,6,Geography,88,650
6650,36.19,40,C,6,Geography,83,651
6653,38.34,47,B,8,Geography,94,654
6656,36.19,44,C,6,Geography,84,657
6657,38.34,42,B,8,Geography,91,658
6658,34.24,43,D,4,Geography,74,659
6659,36.19,44,C,6,Geography,84,660
6668,36.19,50,C,6,Geography,85,669
6671,36.19,44,C,6,Geography,88,672
6676,36.19,44,C,6,Geography,85,677
6679,32.72,48,E,2,Geography,69,680
6683,32.72,50,E,2,Geography,73,684
6686,36.19,54,C,6,Geography,82,687
6690,32.72,38,E,2,Geography,72,691
6692,38.34,52,B,8,Geography,94,693
6693,36.19,39,C,6,Geography,88,694
6704,31.09,41,F,1,Geography,61,705
6717,38.34,39,B,8,Geography,93,718
6719,38.34,42,B,8,Geography,89,720
6720,36.19,42,C,6,Geography,88,721
6723,38.34,41,B,8,Geography,93,724
6724,38.34,42,B,8,Geography,92,725
6727,34.24,41,D,4,Geography,79,728
6734,32.72,39,E,2,Geography,67,735
6739,31.09,45,F,1,Geography,66,740
6741,36.19,42,C,6,Geography,85,742
6753,38.34,44,B,8,Geography,92,754
6759,36.19,43,C,6,Geography,84,760
6765,31.09,47,F,1,Geography,63,766
6768,38.34,42,B,8,Geography,94,769
6769,31.09,39,F,1,Geography,64,770
6776,34.24,42,D,4,Geography,77,777
6783,36.19,42,C,6,Geography,85,784
6790,38.34,43,B,8,Geography,90,791
6798,34.24,45,D,4,Geography,76,799
6801,34.24,40,D,4,Geography,76,802
6802,38.34,52,B,8,Geography,89,803
6807,34.24,58,D,4,Geography,77,808
6815,34.24,43,D,4,Geography,80,816
6830,38.34,43,B,8,Geography,90,831
6832,36.19,48,C,6,Geography,88,833
6836,36.19,52,C,6,Geography,88,837
6837,38.34,39,B,8,Geography,92,838
6840,32.72,45,E,2,Geography,67,841
6845,34.24,52,D,4,Geography,75,846
6849,34.24,39,D,4,Geography,78,850
6854,38.34,52,B,8,Geography,91,855
6856,36.19,47,C,6,Geography,86,857
6860,38.34,39,B,8,Geography,93,861
6862,36.19,50,C,6,Geography,87,863
6863,36.19,44,C,6,Geography,83,864
6864,36.19,45,C,6,Geography,88,865
6866,36.19,52,C,6,Geography,81,867
6867,32.72,43,E,2,Geography,68,868
6869,38.34,42,B,8,Geography,92,870
6870,34.24,48,D,4,Geography,79,871
6873,38.34,58,B,8,Geography,91,874
6882,38.34,38,B,8,Geography,93,883
6886,34.24,54,D,4,Geography,80,887
6889,36.19,40,C,6,Geography,88,890
6890,36.19,52,C,6,Geography,81,891
6894,36.19,42,C,6,Geography,85,895
6896,38.34,43,B,8,Geography,91,897
6900,38.34,41,B,8,Geography,90,901
6903,36.19,46,C,6,Geography,83,904
6910,38.34,48,B,8,Geography,89,911
6911,32.72,44,E,2,Geography,67,912
6913,38.34,52,B,8,Geography,90,914
6919,36.19,42,C,6,Geography,86,920
6921,32.72,38,E,2,Geography,67,922
6923,38.34,42,B,8,Geography,92,924
6927,38.34,53,B,8,Geography,91,928
6930,34.24,40,D,4,Geography,79,931
6931,38.34,49,B,8,Geography,89,932
6933,38.34,38,B,8,Geography,90,934
6935,36.19,42,C,6,Geography,88,936
6939,34.24,42,D,4,Geography,76,940
6944,31.09,49,F,1,Geography,65,945
6950,32.72,43,E,2,Geography,68,951
6951,34.24,41,D,4,Geography,78,952
6954,34.24,42,D,4,Geography,78,955
6960,38.34,50,B,8,Geography,94,961
6961,36.19,48,C,6,Geography,84,962
6974,38.34,43,B,8,Geography,92,975
6980,34.24,40,D,4,Geography,80,981
6981,32.72,52,E,2,Geography,71,982
6984,34.24,47,D,4,Geography,75,985
6995,31.09,49,F,1,Geography,64,996
6996,38.34,54,B,8,Geography,93,997
